Time (UTC+0:00),GPOA [W/m^2],System DC efficiency [%],System DC power [W],System AC power [W],Inverter conversion efficiency [%],Final system efficiency [%]
1/1/2000 0:30,0.009,0,0,0,0,0
1/1/2000 1:30,0.005,0,0,0,0,0
1/1/2000 2:30,0.009,0,0,0,0,0
1/1/2000 3:30,0.027,0,0,0,0,0
1/1/2000 4:30,0.005,0,0,0,0,0
1/1/2000 5:30,0,0,0,0,0,0
1/1/2000 6:30,0,0,0,0,0,0
1/1/2000 7:30,0.324,0,0,0,0,0
1/1/2000 8:30,21.079,16.836,5.079,3.325,65.459,11.02
1/1/2000 9:30,71.974,17.611,18.142,15.75,86.817,15.289
1/1/2000 10:30,127.19,17.859,32.512,29.404,90.442,16.152
1/1/2000 11:30,162.223,17.932,41.637,38.063,91.417,16.393
1/1/2000 12:30,171.527,17.932,44.023,40.326,91.602,16.426
1/1/2000 13:30,149.702,17.882,38.314,34.912,91.12,16.294
1/1/2000 14:30,75.085,17.574,18.886,16.459,87.148,15.315
1/1/2000 15:30,11.939,16.359,2.796,1.156,41.342,6.763
1/1/2000 16:30,0.005,0,0,0,0,0
1/1/2000 17:30,0.013,0,0,0,0,0
1/1/2000 18:30,0.009,0,0,0,0,0
1/1/2000 19:30,0.005,0,0,0,0,0
1/1/2000 20:30,0,0,0,0,0,0
1/1/2000 21:30,0,0,0,0,0,0
1/1/2000 22:30,0,0,0,0,0,0
1/1/2000 23:30,0,0,0,0,0,0
2/1/2000 0:30,0.005,0,0,0,0,0
2/1/2000 1:30,0.013,0,0,0,0,0
2/1/2000 2:30,0.016,0,0,0,0,0
2/1/2000 3:30,0.009,0,0,0,0,0
2/1/2000 4:30,0,0,0,0,0,0
2/1/2000 5:30,0.013,0,0,0,0,0
2/1/2000 6:30,0.031,0,0,0,0,0
2/1/2000 7:30,0.074,0,0,0,0,0
2/1/2000 8:30,24.316,16.921,5.889,4.095,69.536,11.766
2/1/2000 9:30,110.494,17.789,28.131,25.244,89.739,15.963
2/1/2000 10:30,191.559,17.96,49.239,45.27,91.939,16.512
2/1/2000 11:30,241.579,17.989,62.198,57.539,92.509,16.642
2/1/2000 12:30,238.482,17.974,61.35,56.736,92.48,16.623
2/1/2000 13:30,207.681,17.958,53.379,49.191,92.155,16.55
2/1/2000 14:30,114.21,17.811,29.114,26.178,89.915,16.015
2/1/2000 15:30,27.98,17.009,6.811,4.972,73.003,12.417
2/1/2000 16:30,0.009,0,0,0,0,0
2/1/2000 17:30,0.016,0,0,0,0,0
2/1/2000 18:30,0.031,0,0,0,0,0
2/1/2000 19:30,0.031,0,0,0,0,0
2/1/2000 20:30,0.031,0,0,0,0,0
2/1/2000 21:30,0.031,0,0,0,0,0
2/1/2000 22:30,0.031,0,0,0,0,0
2/1/2000 23:30,0.031,0,0,0,0,0
3/1/2000 0:30,0.031,0,0,0,0,0
3/1/2000 1:30,0.036,0,0,0,0,0
3/1/2000 2:30,0.031,0,0,0,0,0
3/1/2000 3:30,0,0,0,0,0,0
3/1/2000 4:30,0,0,0,0,0,0
3/1/2000 5:30,0.013,0,0,0,0,0
3/1/2000 6:30,0,0,0,0,0,0
3/1/2000 7:30,0.251,0,0,0,0,0
3/1/2000 8:30,45.609,17.35,11.324,9.265,81.82,14.196
3/1/2000 9:30,110.389,17.806,28.128,25.241,89.737,15.979
3/1/2000 10:30,136.922,17.855,34.983,31.751,90.76,16.205
3/1/2000 11:30,198.031,17.97,50.922,46.864,92.031,16.538
3/1/2000 12:30,184.868,17.937,47.451,43.575,91.833,16.472
3/1/2000 13:30,148.763,17.882,38.067,34.677,91.095,16.29
3/1/2000 14:30,86.281,17.653,21.796,19.225,88.205,15.571
3/1/2000 15:30,25.279,16.916,6.119,4.314,70.507,11.927
3/1/2000 16:30,0.027,0,0,0,0,0
3/1/2000 17:30,0.031,0,0,0,0,0
3/1/2000 18:30,0.027,0,0,0,0,0
3/1/2000 19:30,0.031,0,0,0,0,0
3/1/2000 20:30,0.031,0,0,0,0,0
3/1/2000 21:30,0.031,0,0,0,0,0
3/1/2000 22:30,0.031,0,0,0,0,0
3/1/2000 23:30,0.027,0,0,0,0,0
4/1/2000 0:30,0,0,0,0,0,0
4/1/2000 1:30,0,0,0,0,0,0
4/1/2000 2:30,0.005,0,0,0,0,0
4/1/2000 3:30,0,0,0,0,0,0
4/1/2000 4:30,0.013,0,0,0,0,0
4/1/2000 5:30,0,0,0,0,0,0
4/1/2000 6:30,0,0,0,0,0,0
4/1/2000 7:30,0.154,0,0,0,0,0
4/1/2000 8:30,20.058,16.757,4.812,3.071,63.824,10.695
4/1/2000 9:30,88.2,17.661,22.299,19.703,88.36,15.605
4/1/2000 10:30,159.486,17.877,40.814,37.284,91.35,16.33
4/1/2000 11:30,194.569,17.922,49.919,45.915,91.978,16.484
4/1/2000 12:30,188.501,17.913,48.338,44.417,91.888,16.46
4/1/2000 13:30,144.771,17.828,36.948,33.617,90.983,16.221
4/1/2000 14:30,78.571,17.546,19.736,17.268,87.495,15.352
4/1/2000 15:30,17.563,16.583,4.169,2.462,59.039,9.79
4/1/2000 16:30,0.031,0,0,0,0,0
4/1/2000 17:30,0.027,0,0,0,0,0
4/1/2000 18:30,0.031,0,0,0,0,0
4/1/2000 19:30,0.031,0,0,0,0,0
4/1/2000 20:30,0.009,0,0,0,0,0
4/1/2000 21:30,0,0,0,0,0,0
4/1/2000 22:30,0,0,0,0,0,0
4/1/2000 23:30,0.013,0,0,0,0,0
5/1/2000 0:30,0.009,0,0,0,0,0
5/1/2000 1:30,0.005,0,0,0,0,0
5/1/2000 2:30,0,0,0,0,0,0
5/1/2000 3:30,0,0,0,0,0,0
5/1/2000 4:30,0,0,0,0,0,0
5/1/2000 5:30,0,0,0,0,0,0
5/1/2000 6:30,0.009,0,0,0,0,0
5/1/2000 7:30,0.328,0,0,0,0,0
5/1/2000 8:30,22.255,16.794,5.351,3.584,66.985,11.25
5/1/2000 9:30,71.806,17.542,18.034,15.648,86.774,15.222
5/1/2000 10:30,129.14,17.825,32.956,29.827,90.505,16.132
5/1/2000 11:30,206.354,17.957,53.052,48.882,92.14,16.546
5/1/2000 12:30,165.563,17.899,42.428,38.814,91.482,16.375
5/1/2000 13:30,151.274,17.87,38.703,35.281,91.158,16.29
5/1/2000 14:30,94.829,17.666,23.985,21.306,88.832,15.693
5/1/2000 15:30,26.172,16.904,6.334,4.519,71.35,12.061
5/1/2000 16:30,0.009,0,0,0,0,0
5/1/2000 17:30,0,0,0,0,0,0
5/1/2000 18:30,0,0,0,0,0,0
5/1/2000 19:30,0,0,0,0,0,0
5/1/2000 20:30,0,0,0,0,0,0
5/1/2000 21:30,0,0,0,0,0,0
5/1/2000 22:30,0,0,0,0,0,0
5/1/2000 23:30,0,0,0,0,0,0
6/1/2000 0:30,0,0,0,0,0,0
6/1/2000 1:30,0.013,0,0,0,0,0
6/1/2000 2:30,0.022,0,0,0,0,0
6/1/2000 3:30,0.005,0,0,0,0,0
6/1/2000 4:30,0.009,0,0,0,0,0
6/1/2000 5:30,0.005,0,0,0,0,0
6/1/2000 6:30,0.005,0,0,0,0,0
6/1/2000 7:30,0.07,0,0,0,0,0
6/1/2000 8:30,47.78,17.332,11.863,9.779,82.431,14.287
6/1/2000 9:30,120.103,17.796,30.618,27.606,90.166,16.046
6/1/2000 10:30,201.967,17.938,51.897,47.788,92.083,16.518
6/1/2000 11:30,244.331,17.955,62.842,58.148,92.531,16.614
6/1/2000 12:30,208.643,17.912,53.535,49.34,92.164,16.509
6/1/2000 13:30,177.8,17.863,45.495,41.723,91.709,16.382
6/1/2000 14:30,92.148,17.645,23.292,20.648,88.648,15.642
6/1/2000 15:30,19.844,16.668,4.738,3.002,63.365,10.562
6/1/2000 16:30,0.005,0,0,0,0,0
6/1/2000 17:30,0,0,0,0,0,0
6/1/2000 18:30,0,0,0,0,0,0
6/1/2000 19:30,0,0,0,0,0,0
6/1/2000 20:30,0,0,0,0,0,0
6/1/2000 21:30,0,0,0,0,0,0
6/1/2000 22:30,0,0,0,0,0,0
6/1/2000 23:30,0,0,0,0,0,0
7/1/2000 0:30,0,0,0,0,0,0
7/1/2000 1:30,0.005,0,0,0,0,0
7/1/2000 2:30,0,0,0,0,0,0
7/1/2000 3:30,0,0,0,0,0,0
7/1/2000 4:30,0,0,0,0,0,0
7/1/2000 5:30,0,0,0,0,0,0
7/1/2000 6:30,0,0,0,0,0,0
7/1/2000 7:30,0.194,0,0,0,0,0
7/1/2000 8:30,26.984,16.956,6.554,4.728,72.141,12.232
7/1/2000 9:30,106.697,17.762,27.146,24.309,89.549,15.906
7/1/2000 10:30,160.98,17.88,41.229,37.677,91.385,16.34
7/1/2000 11:30,214.456,17.949,55.134,50.853,92.237,16.555
7/1/2000 12:30,179.162,17.882,45.89,42.097,91.735,16.404
7/1/2000 13:30,134.401,17.792,34.252,31.058,90.675,16.133
7/1/2000 14:30,88.567,17.603,22.331,19.735,88.374,15.556
7/1/2000 15:30,30.499,16.955,7.407,5.541,74.806,12.683
7/1/2000 16:30,0.009,0,0,0,0,0
7/1/2000 17:30,0,0,0,0,0,0
7/1/2000 18:30,0,0,0,0,0,0
7/1/2000 19:30,0,0,0,0,0,0
7/1/2000 20:30,0,0,0,0,0,0
7/1/2000 21:30,0,0,0,0,0,0
7/1/2000 22:30,0,0,0,0,0,0
7/1/2000 23:30,0.027,0,0,0,0,0
8/1/2000 0:30,0.031,0,0,0,0,0
8/1/2000 1:30,0.031,0,0,0,0,0
8/1/2000 2:30,0.031,0,0,0,0,0
8/1/2000 3:30,0.032,0,0,0,0,0
8/1/2000 4:30,0.013,0,0,0,0,0
8/1/2000 5:30,0.031,0,0,0,0,0
8/1/2000 6:30,0.031,0,0,0,0,0
8/1/2000 7:30,0.283,0,0,0,0,0
8/1/2000 8:30,33.395,17.073,8.167,6.263,76.686,13.093
8/1/2000 9:30,105.182,17.751,26.743,23.926,89.467,15.881
8/1/2000 10:30,163.515,17.893,41.907,38.32,91.441,16.361
8/1/2000 11:30,205.512,17.946,52.827,48.669,92.129,16.533
8/1/2000 12:30,173.701,17.873,44.468,40.749,91.637,16.378
8/1/2000 13:30,165.162,17.857,42.243,38.64,91.47,16.333
8/1/2000 14:30,97.576,17.664,24.688,21.974,89.009,15.723
8/1/2000 15:30,26.65,16.914,6.457,4.636,71.802,12.145
8/1/2000 16:30,0.009,0,0,0,0,0
8/1/2000 17:30,0,0,0,0,0,0
8/1/2000 18:30,0,0,0,0,0,0
8/1/2000 19:30,0,0,0,0,0,0
8/1/2000 20:30,0,0,0,0,0,0
8/1/2000 21:30,0,0,0,0,0,0
8/1/2000 22:30,0,0,0,0,0,0
8/1/2000 23:30,0,0,0,0,0,0
9/1/2000 0:30,0,0,0,0,0,0
9/1/2000 1:30,0,0,0,0,0,0
9/1/2000 2:30,0,0,0,0,0,0
9/1/2000 3:30,0,0,0,0,0,0
9/1/2000 4:30,0,0,0,0,0,0
9/1/2000 5:30,0,0,0,0,0,0
9/1/2000 6:30,0,0,0,0,0,0
9/1/2000 7:30,0.244,0,0,0,0,0
9/1/2000 8:30,31.135,17.082,7.616,5.738,75.34,12.87
9/1/2000 9:30,106.419,17.762,27.066,24.233,89.533,15.902
9/1/2000 10:30,189.069,17.911,48.493,44.564,91.897,16.46
9/1/2000 11:30,236.749,17.934,60.798,56.215,92.462,16.582
9/1/2000 12:30,233.363,17.914,59.862,55.33,92.429,16.558
9/1/2000 13:30,160.322,17.836,40.947,37.411,91.364,16.296
9/1/2000 14:30,97.458,17.67,24.659,21.947,89.002,15.726
9/1/2000 15:30,32.749,17.025,7.984,6.089,76.27,12.985
9/1/2000 16:30,0.048,0,0,0,0,0
9/1/2000 17:30,0.031,0,0,0,0,0
9/1/2000 18:30,0.031,0,0,0,0,0
9/1/2000 19:30,0.031,0,0,0,0,0
9/1/2000 20:30,0.031,0,0,0,0,0
9/1/2000 21:30,0.031,0,0,0,0,0
9/1/2000 22:30,0.031,0,0,0,0,0
9/1/2000 23:30,0.027,0,0,0,0,0
10/1/2000 0:30,0.027,0,0,0,0,0
10/1/2000 1:30,0.031,0,0,0,0,0
10/1/2000 2:30,0.031,0,0,0,0,0
10/1/2000 3:30,0.031,0,0,0,0,0
10/1/2000 4:30,0.031,0,0,0,0,0
10/1/2000 5:30,0.031,0,0,0,0,0
10/1/2000 6:30,0.031,0,0,0,0,0
10/1/2000 7:30,0.465,0,0,0,0,0
10/1/2000 8:30,75.262,17.59,18.954,16.523,87.175,15.334
10/1/2000 9:30,141.918,17.828,36.225,32.93,90.905,16.207
10/1/2000 10:30,209.25,17.914,53.669,49.467,92.171,16.512
10/1/2000 11:30,250.494,17.89,64.159,59.395,92.575,16.561
10/1/2000 12:30,233.929,17.885,59.899,55.366,92.431,16.531
10/1/2000 13:30,156.037,17.782,39.725,36.252,91.259,16.228
10/1/2000 14:30,76.388,17.484,19.121,16.684,87.255,15.256
10/1/2000 15:30,39.855,17.123,9.77,7.79,79.726,13.652
10/1/2000 16:30,0.005,0,0,0,0,0
10/1/2000 17:30,0.031,0,0,0,0,0
10/1/2000 18:30,0.025,0,0,0,0,0
10/1/2000 19:30,0.027,0,0,0,0,0
10/1/2000 20:30,0.022,0,0,0,0,0
10/1/2000 21:30,0.022,0,0,0,0,0
10/1/2000 22:30,0,0,0,0,0,0
10/1/2000 23:30,0,0,0,0,0,0
11/1/2000 0:30,0,0,0,0,0,0
11/1/2000 1:30,0,0,0,0,0,0
11/1/2000 2:30,0.022,0,0,0,0,0
11/1/2000 3:30,0,0,0,0,0,0
11/1/2000 4:30,0,0,0,0,0,0
11/1/2000 5:30,0.005,0,0,0,0,0
11/1/2000 6:30,0.013,0,0,0,0,0
11/1/2000 7:30,0.428,0,0,0,0,0
11/1/2000 8:30,49.838,17.356,12.382,10.273,82.965,14.399
11/1/2000 9:30,112.86,17.778,28.722,25.806,89.848,15.973
11/1/2000 10:30,194.538,17.94,49.959,45.952,91.98,16.501
11/1/2000 11:30,229.149,17.933,58.825,54.348,92.389,16.568
11/1/2000 12:30,208.291,17.911,53.404,49.216,92.158,16.506
11/1/2000 13:30,166.707,17.857,42.614,38.991,91.499,16.339
11/1/2000 14:30,115.486,17.726,29.305,26.361,89.954,15.946
11/1/2000 15:30,23.272,16.765,5.585,3.808,68.179,11.43
11/1/2000 16:30,0.079,0,0,0,0,0
11/1/2000 17:30,0.031,0,0,0,0,0
11/1/2000 18:30,0.031,0,0,0,0,0
11/1/2000 19:30,0.031,0,0,0,0,0
11/1/2000 20:30,0.031,0,0,0,0,0
11/1/2000 21:30,0.031,0,0,0,0,0
11/1/2000 22:30,0.031,0,0,0,0,0
11/1/2000 23:30,0.031,0,0,0,0,0
12/1/2000 0:30,0.031,0,0,0,0,0
12/1/2000 1:30,0.013,0,0,0,0,0
12/1/2000 2:30,0.027,0,0,0,0,0
12/1/2000 3:30,0.027,0,0,0,0,0
12/1/2000 4:30,0.031,0,0,0,0,0
12/1/2000 5:30,0.031,0,0,0,0,0
12/1/2000 6:30,0.031,0,0,0,0,0
12/1/2000 7:30,0.456,0,0,0,0,0
12/1/2000 8:30,27.797,16.925,6.735,4.901,72.769,12.316
12/1/2000 9:30,81.727,17.599,20.59,18.079,87.806,15.453
12/1/2000 10:30,154.867,17.85,39.573,36.106,91.241,16.286
12/1/2000 11:30,184.377,17.912,47.276,43.411,91.823,16.447
12/1/2000 12:30,195.821,17.917,50.225,46.204,91.995,16.482
12/1/2000 13:30,155.167,17.84,39.627,36.159,91.247,16.278
12/1/2000 14:30,99.767,17.665,25.229,22.489,89.139,15.746
12/1/2000 15:30,40.925,17.167,10.057,8.062,80.161,13.761
12/1/2000 16:30,0.039,0,0,0,0,0
12/1/2000 17:30,0,0,0,0,0,0
12/1/2000 18:30,0,0,0,0,0,0
12/1/2000 19:30,0.027,0,0,0,0,0
12/1/2000 20:30,0.031,0,0,0,0,0
