Uur,Totaal [kWh],Normaal[kWh],Laag [kWh],P max [kW],p contract [kW]
08-06-2018 00:00 tot 00:15,0,0,0,0,684
08-06-2018 00:15 tot 00:30,0,0,0,,
08-06-2018 00:30 tot 00:45,0,0,0,,
08-06-2018 00:45 tot 01:00,0,0,0,,
08-06-2018 01:00 tot 01:15,0,0,0,0,684
08-06-2018 01:15 tot 01:30,0,0,0,,
08-06-2018 01:30 tot 01:45,0,0,0,,
08-06-2018 01:45 tot 02:00,0,0,0,,
08-06-2018 02:00 tot 02:15,0,0,0,0,684
08-06-2018 02:15 tot 02:30,0,0,0,,
08-06-2018 02:30 tot 02:45,0,0,0,,
08-06-2018 02:45 tot 03:00,0,0,0,,
08-06-2018 03:00 tot 03:15,0,0,0,0,684
08-06-2018 03:15 tot 03:30,0,0,0,,
08-06-2018 03:30 tot 03:45,0,0,0,,
08-06-2018 03:45 tot 04:00,0,0,0,,
08-06-2018 04:00 tot 04:15,0,0,0,0,684
08-06-2018 04:15 tot 04:30,0,0,0,,
08-06-2018 04:30 tot 04:45,0,0,0,,
08-06-2018 04:45 tot 05:00,0,0,0,,
08-06-2018 05:00 tot 05:15,0,0,0,0,684
08-06-2018 05:15 tot 05:30,0,0,0,,
08-06-2018 05:30 tot 05:45,0,0,0,,
08-06-2018 05:45 tot 06:00,0,0,0,,
08-06-2018 06:00 tot 06:15,0,0,0,0,684
08-06-2018 06:15 tot 06:30,0,0,0,,
08-06-2018 06:30 tot 06:45,0,0,0,,
08-06-2018 06:45 tot 07:00,0,0,0,,
08-06-2018 07:00 tot 07:15,0,0,0,0,684
08-06-2018 07:15 tot 07:30,0,0,0,,
08-06-2018 07:30 tot 07:45,0,0,0,,
08-06-2018 07:45 tot 08:00,0,0,0,,
08-06-2018 08:00 tot 08:15,0,0,0,0,684
08-06-2018 08:15 tot 08:30,0,0,0,,
08-06-2018 08:30 tot 08:45,0,0,0,,
08-06-2018 08:45 tot 09:00,0,0,0,,
08-06-2018 09:00 tot 09:15,0,0,0,0,684
08-06-2018 09:15 tot 09:30,0,0,0,,
08-06-2018 09:30 tot 09:45,0,0,0,,
08-06-2018 09:45 tot 10:00,0,0,0,,
08-06-2018 10:00 tot 10:15,0,0,0,0,684
08-06-2018 10:15 tot 10:30,0,0,0,,
08-06-2018 10:30 tot 10:45,0,0,0,,
08-06-2018 10:45 tot 11:00,0,0,0,,
08-06-2018 11:00 tot 11:15,0,0,0,0,684
08-06-2018 11:15 tot 11:30,0,0,0,,
08-06-2018 11:30 tot 11:45,0,0,0,,
08-06-2018 11:45 tot 12:00,0,0,0,,
08-06-2018 12:00 tot 12:15,6.44,6.44,0,84,684
08-06-2018 12:15 tot 12:30,21.02,21.02,0,,
08-06-2018 12:30 tot 12:45,0,0,0,,
08-06-2018 12:45 tot 13:00,0,0,0,,
08-06-2018 13:00 tot 13:15,0,0,0,0,684
08-06-2018 13:15 tot 13:30,0,0,0,,
08-06-2018 13:30 tot 13:45,0,0,0,,
08-06-2018 13:45 tot 14:00,0,0,0,,
08-06-2018 14:00 tot 14:15,0,0,0,0,684
08-06-2018 14:15 tot 14:30,0,0,0,,
08-06-2018 14:30 tot 14:45,0,0,0,,
08-06-2018 14:45 tot 15:00,0,0,0,,
08-06-2018 15:00 tot 15:15,0,0,0,0,684
08-06-2018 15:15 tot 15:30,0,0,0,,
08-06-2018 15:30 tot 15:45,0,0,0,,
08-06-2018 15:45 tot 16:00,0,0,0,,
08-06-2018 16:00 tot 16:15,0,0,0,0,684
08-06-2018 16:15 tot 16:30,0,0,0,,
08-06-2018 16:30 tot 16:45,0,0,0,,
08-06-2018 16:45 tot 17:00,0,0,0,,
08-06-2018 17:00 tot 17:15,0,0,0,0,684
08-06-2018 17:15 tot 17:30,0,0,0,,
08-06-2018 17:30 tot 17:45,0,0,0,,
08-06-2018 17:45 tot 18:00,0,0,0,,
08-06-2018 18:00 tot 18:15,0,0,0,0,684
08-06-2018 18:15 tot 18:30,0,0,0,,
08-06-2018 18:30 tot 18:45,0,0,0,,
08-06-2018 18:45 tot 19:00,0,0,0,,
08-06-2018 19:00 tot 19:15,0,0,0,0,684
08-06-2018 19:15 tot 19:30,0,0,0,,
08-06-2018 19:30 tot 19:45,0,0,0,,
08-06-2018 19:45 tot 20:00,0,0,0,,
08-06-2018 20:00 tot 20:15,0,0,0,0,684
08-06-2018 20:15 tot 20:30,0,0,0,,
08-06-2018 20:30 tot 20:45,0,0,0,,
08-06-2018 20:45 tot 21:00,0,0,0,,
08-06-2018 21:00 tot 21:15,0,0,0,0,684
08-06-2018 21:15 tot 21:30,0,0,0,,
08-06-2018 21:30 tot 21:45,0,0,0,,
08-06-2018 21:45 tot 22:00,0,0,0,,
08-06-2018 22:00 tot 22:15,0,0,0,0,684
08-06-2018 22:15 tot 22:30,0,0,0,,
08-06-2018 22:30 tot 22:45,0,0,0,,
08-06-2018 22:45 tot 23:00,0,0,0,,
08-06-2018 23:00 tot 23:15,0,0,0,0,684
08-06-2018 23:15 tot 23:30,0,0,0,,
08-06-2018 23:30 tot 23:45,0,0,0,,
08-06-2018 23:45 tot 00:00,0,0,0,,
09-06-2018 00:00 tot 00:15,0,0,0,0,684
09-06-2018 00:15 tot 00:30,0,0,0,,
09-06-2018 00:30 tot 00:45,0,0,0,,
09-06-2018 00:45 tot 01:00,0,0,0,,
09-06-2018 01:00 tot 01:15,0,0,0,0,684
09-06-2018 01:15 tot 01:30,0,0,0,,
09-06-2018 01:30 tot 01:45,0,0,0,,
09-06-2018 01:45 tot 02:00,0,0,0,,
09-06-2018 02:00 tot 02:15,0,0,0,0,684
09-06-2018 02:15 tot 02:30,0,0,0,,
09-06-2018 02:30 tot 02:45,0,0,0,,
09-06-2018 02:45 tot 03:00,0,0,0,,
09-06-2018 03:00 tot 03:15,0,0,0,0,684
09-06-2018 03:15 tot 03:30,0,0,0,,
09-06-2018 03:30 tot 03:45,0,0,0,,
09-06-2018 03:45 tot 04:00,0,0,0,,
09-06-2018 04:00 tot 04:15,0,0,0,0,684
09-06-2018 04:15 tot 04:30,0,0,0,,
09-06-2018 04:30 tot 04:45,0,0,0,,
09-06-2018 04:45 tot 05:00,0,0,0,,
09-06-2018 05:00 tot 05:15,0,0,0,0,684
09-06-2018 05:15 tot 05:30,0,0,0,,
09-06-2018 05:30 tot 05:45,0,0,0,,
09-06-2018 05:45 tot 06:00,0.05,0,0.05,,
09-06-2018 06:00 tot 06:15,1.35,0,1.35,21,684
09-06-2018 06:15 tot 06:30,3.87,0,3.87,,
09-06-2018 06:30 tot 06:45,4.64,0,4.64,,
09-06-2018 06:45 tot 07:00,5.18,0,5.18,,
09-06-2018 07:00 tot 07:15,6.75,0,6.75,66,684
09-06-2018 07:15 tot 07:30,8.78,0,8.78,,
09-06-2018 07:30 tot 07:45,12.15,0,12.15,,
09-06-2018 07:45 tot 08:00,16.43,0,16.43,,
09-06-2018 08:00 tot 08:15,19.67,0,19.67,211,684
09-06-2018 08:15 tot 08:30,17.15,0,17.15,,
09-06-2018 08:30 tot 08:45,37.08,0,37.08,,
09-06-2018 08:45 tot 09:00,52.79,0,52.79,,
09-06-2018 09:00 tot 09:15,44.69,0,44.69,262,684
09-06-2018 09:15 tot 09:30,37.44,0,37.44,,
09-06-2018 09:30 tot 09:45,60.39,0,60.39,,
09-06-2018 09:45 tot 10:00,65.57,0,65.57,,
09-06-2018 10:00 tot 10:15,66.83,0,66.83,280,684
09-06-2018 10:15 tot 10:30,63.45,0,63.45,,
09-06-2018 10:30 tot 10:45,69.89,0,69.89,,
09-06-2018 10:45 tot 11:00,52.07,0,52.07,,
09-06-2018 11:00 tot 11:15,54.05,0,54.05,333,684
09-06-2018 11:15 tot 11:30,56.07,0,56.07,,
09-06-2018 11:30 tot 11:45,61.07,0,61.07,,
09-06-2018 11:45 tot 12:00,83.21,0,83.21,,
09-06-2018 12:00 tot 12:15,89.69,0,89.69,361,684
09-06-2018 12:15 tot 12:30,90.14,0,90.14,,
09-06-2018 12:30 tot 12:45,85.23,0,85.23,,
09-06-2018 12:45 tot 13:00,79.07,0,79.07,,
09-06-2018 13:00 tot 13:15,75.02,0,75.02,361,684
09-06-2018 13:15 tot 13:30,76.86,0,76.86,,
09-06-2018 13:30 tot 13:45,84.92,0,84.92,,
09-06-2018 13:45 tot 14:00,90.23,0,90.23,,
09-06-2018 14:00 tot 14:15,91.89,0,91.89,368,684
09-06-2018 14:15 tot 14:30,83.88,0,83.88,,
09-06-2018 14:30 tot 14:45,65.84,0,65.84,,
09-06-2018 14:45 tot 15:00,69.03,0,69.03,,
09-06-2018 15:00 tot 15:15,75.11,0,75.11,300,684
09-06-2018 15:15 tot 15:30,70.52,0,70.52,,
09-06-2018 15:30 tot 15:45,65.79,0,65.79,,
09-06-2018 15:45 tot 16:00,70.47,0,70.47,,
09-06-2018 16:00 tot 16:15,76.77,0,76.77,354,684
09-06-2018 16:15 tot 16:30,88.38,0,88.38,,
09-06-2018 16:30 tot 16:45,77.67,0,77.67,,
09-06-2018 16:45 tot 17:00,75.38,0,75.38,,
09-06-2018 17:00 tot 17:15,71.51,0,71.51,286,684
09-06-2018 17:15 tot 17:30,67.95,0,67.95,,
09-06-2018 17:30 tot 17:45,63.9,0,63.9,,
09-06-2018 17:45 tot 18:00,60.17,0,60.17,,
09-06-2018 18:00 tot 18:15,52.65,0,52.65,211,684
09-06-2018 18:15 tot 18:30,51.03,0,51.03,,
09-06-2018 18:30 tot 18:45,49.05,0,49.05,,
09-06-2018 18:45 tot 19:00,51.03,0,51.03,,
09-06-2018 19:00 tot 19:15,44.73,0,44.73,179,684
09-06-2018 19:15 tot 19:30,35.91,0,35.91,,
09-06-2018 19:30 tot 19:45,30.87,0,30.87,,
09-06-2018 19:45 tot 20:00,26.64,0,26.64,,
09-06-2018 20:00 tot 20:15,17.82,0,17.82,71,684
09-06-2018 20:15 tot 20:30,10.49,0,10.49,,
09-06-2018 20:30 tot 20:45,8.51,0,8.51,,
09-06-2018 20:45 tot 21:00,6.66,0,6.66,,
09-06-2018 21:00 tot 21:15,3.69,0,3.69,15,684
09-06-2018 21:15 tot 21:30,2.3,0,2.3,,
09-06-2018 21:30 tot 21:45,0.86,0,0.86,,
09-06-2018 21:45 tot 22:00,0,0,0,,
09-06-2018 22:00 tot 22:15,0,0,0,0,684
09-06-2018 22:15 tot 22:30,0,0,0,,
09-06-2018 22:30 tot 22:45,0,0,0,,
09-06-2018 22:45 tot 23:00,0,0,0,,
09-06-2018 23:00 tot 23:15,0,0,0,0,684
09-06-2018 23:15 tot 23:30,0,0,0,,
09-06-2018 23:30 tot 23:45,0,0,0,,
09-06-2018 23:45 tot 00:00,0,0,0,,
10-06-2018 00:00 tot 00:15,0,0,0,0,684
10-06-2018 00:15 tot 00:30,0,0,0,,
10-06-2018 00:30 tot 00:45,0,0,0,,
10-06-2018 00:45 tot 01:00,0,0,0,,
10-06-2018 01:00 tot 01:15,0,0,0,0,684
10-06-2018 01:15 tot 01:30,0,0,0,,
10-06-2018 01:30 tot 01:45,0,0,0,,
10-06-2018 01:45 tot 02:00,0,0,0,,
10-06-2018 02:00 tot 02:15,0,0,0,0,684
10-06-2018 02:15 tot 02:30,0,0,0,,
10-06-2018 02:30 tot 02:45,0,0,0,,
10-06-2018 02:45 tot 03:00,0,0,0,,
10-06-2018 03:00 tot 03:15,0,0,0,0,684
10-06-2018 03:15 tot 03:30,0,0,0,,
10-06-2018 03:30 tot 03:45,0,0,0,,
10-06-2018 03:45 tot 04:00,0,0,0,,
10-06-2018 04:00 tot 04:15,0,0,0,0,684
10-06-2018 04:15 tot 04:30,0,0,0,,
10-06-2018 04:30 tot 04:45,0,0,0,,
10-06-2018 04:45 tot 05:00,0,0,0,,
10-06-2018 05:00 tot 05:15,0,0,0,4,684
10-06-2018 05:15 tot 05:30,0,0,0,,
10-06-2018 05:30 tot 05:45,0,0,0,,
10-06-2018 05:45 tot 06:00,1.08,0,1.08,,
10-06-2018 06:00 tot 06:15,2.03,0,2.03,50,684
10-06-2018 06:15 tot 06:30,3.2,0,3.2,,
10-06-2018 06:30 tot 06:45,6.17,0,6.17,,
10-06-2018 06:45 tot 07:00,12.38,0,12.38,,
10-06-2018 07:00 tot 07:15,11.34,0,11.34,50,684
10-06-2018 07:15 tot 07:30,11.39,0,11.39,,
10-06-2018 07:30 tot 07:45,8.51,0,8.51,,
10-06-2018 07:45 tot 08:00,12.38,0,12.38,,
10-06-2018 08:00 tot 08:15,37.89,0,37.89,222,684
10-06-2018 08:15 tot 08:30,55.62,0,55.62,,
10-06-2018 08:30 tot 08:45,50.58,0,50.58,,
10-06-2018 08:45 tot 09:00,40.23,0,40.23,,
10-06-2018 09:00 tot 09:15,37.22,0,37.22,174,684
10-06-2018 09:15 tot 09:30,42.48,0,42.48,,
10-06-2018 09:30 tot 09:45,39.29,0,39.29,,
10-06-2018 09:45 tot 10:00,43.56,0,43.56,,
10-06-2018 10:00 tot 10:15,52.7,0,52.7,325,684
10-06-2018 10:15 tot 10:30,52.16,0,52.16,,
10-06-2018 10:30 tot 10:45,48.96,0,48.96,,
10-06-2018 10:45 tot 11:00,81.32,0,81.32,,
10-06-2018 11:00 tot 11:15,79.25,0,79.25,374,684
