waktu,vermogen,kvar,Dag,stamps,Aantal,Schijnbaar Vermogen,ABS_Reeël Vermogen,Capaciteit,ABS_SChijnbaar vermogen,GEM_Verbruik,Weekdag
11/4/2017 22:00,0.4,0.1,"Saturday, November 04, 2017",10:00:00 PM,1,0.41,0.4,4.14,0.41,0,7
11/24/2017 14:00,0.4,0.1,"Friday, November 24, 2017",2:00:00 PM,1,0.41,0.4,4.14,0.41,0,6
12/25/2017 2:00,0.4,0.1,"Monday, December 25, 2017",2:00:00 AM,1,0.41,0.4,4.14,0.41,0,2
12/26/2017 1:00,0.4,0.1,"Tuesday, December 26, 2017",1:00:00 AM,1,0.41,0.4,4.14,0.41,0,3
12/26/2017 2:00,0.4,0.1,"Tuesday, December 26, 2017",2:00:00 AM,1,0.41,0.4,4.14,0.41,0,3
12/26/2017 4:00,0.4,0.1,"Tuesday, December 26, 2017",4:00:00 AM,1,0.41,0.4,4.14,0.41,0,3
1/24/2018 4:00,0.4,0.1,"Wednesday, January 24, 2018",4:00:00 AM,1,0.41,0.4,4.14,0.41,0,4
1/28/2018 21:00,0.4,0.1,"Sunday, January 28, 2018",9:00:00 PM,1,0.41,0.4,4.14,0.41,0,1
2/3/2018 21:00,0.4,0.1,"Saturday, February 03, 2018",9:00:00 PM,1,0.41,0.4,4.14,0.41,0,7
2/4/2018 21:00,0.4,0.1,"Sunday, February 04, 2018",9:00:00 PM,1,0.41,0.4,4.14,0.41,0,1
3/3/2018 18:00,0.4,0.1,"Saturday, March 03, 2018",6:00:00 PM,1,0.41,0.4,4.14,0.41,0,7
3/11/2018 5:00,0.4,0.1,"Sunday, March 11, 2018",5:00:00 AM,1,0.41,0.4,4.14,0.41,0,1
3/12/2018 0:00,0.4,0.1,"Monday, March 12, 2018",12:00:00 AM,1,0.41,0.4,4.14,0.41,0,2
3/20/2018 21:00,0.4,0.1,"Tuesday, March 20, 2018",9:00:00 PM,1,0.41,0.4,4.14,0.41,0,3
