"","bulan","condition","waktu","avg_daya"
"1",1,"con1","00:00",50.5806451612903
"2",1,"con1","00:15",51.8709677419355
"3",1,"con1","00:30",51.3548387096774
"4",1,"con1","00:45",50.8387096774194
"5",1,"con1","01:00",49.9354838709677
"6",1,"con1","01:15",48.258064516129
"7",1,"con1","01:30",47.3548387096774
"8",1,"con1","01:45",46.9677419354839
"9",1,"con1","02:00",55.741935483871
"10",1,"con1","02:15",59.3548387096774
"11",1,"con1","02:30",57.1612903225806
"12",1,"con1","02:45",56.9032258064516
"13",1,"con1","03:00",63.6129032258064
"14",1,"con1","03:15",67.6129032258064
"15",1,"con1","03:30",65.0322580645161
"16",1,"con1","03:45",64.1290322580645
"17",1,"con1","04:00",64.5161290322581
"18",1,"con1","04:15",64
"19",1,"con1","04:30",62.4516129032258
"20",1,"con1","04:45",62.7096774193548
"21",1,"con1","05:00",68.1290322580645
"22",1,"con1","05:15",68.7741935483871
"23",1,"con1","05:30",75.0967741935484
"24",1,"con1","05:45",80
"25",1,"con1","06:00",81.8064516129032
"26",1,"con1","06:15",82.7096774193548
"27",1,"con1","06:30",84.6451612903226
"28",1,"con1","06:45",88.7741935483871
"29",1,"con1","07:00",93.1612903225806
"30",1,"con1","07:15",96.5161290322581
"31",1,"con1","07:30",99.741935483871
"32",1,"con1","07:45",102.58064516129
"33",1,"con1","08:00",110.151859573948
"34",1,"con1","08:15",106.322580645161
"35",1,"con1","08:30",106.130323922431
"36",1,"con1","08:45",107.415148028426
"37",1,"con1","09:00",175.994380261219
"38",1,"con1","09:15",128.755193753102
"39",1,"con1","09:30",139.439577672493
"40",1,"con1","09:45",154.279414397126
"41",1,"con1","10:00",259.924822368019
"42",1,"con1","10:15",191.386180803174
"43",1,"con1","10:30",206.380216855941
"44",1,"con1","10:45",229.689174393193
"45",1,"con1","11:00",325.415414848908
"46",1,"con1","11:15",251.64218062456
"47",1,"con1","11:30",275.607680856882
"48",1,"con1","11:45",292.358832416852
"49",1,"con1","12:00",356.818085910267
"50",1,"con1","12:15",308.657769362732
"51",1,"con1","12:30",302.401149259996
"52",1,"con1","12:45",306.569492389768
"53",1,"con1","13:00",345.681666444945
"54",1,"con1","13:15",289.246276489108
"55",1,"con1","13:30",301.909650093332
"56",1,"con1","13:45",281.93420100153
"57",1,"con1","14:00",298.293702708831
"58",1,"con1","14:15",260.572645944469
"59",1,"con1","14:30",247.989429322571
"60",1,"con1","14:45",220.550467811949
"61",1,"con1","15:00",215.637343201399
"62",1,"con1","15:15",192.508110198666
"63",1,"con1","15:30",164.98310877562
"64",1,"con1","15:45",151.415537649638
"65",1,"con1","16:00",129.777171140953
"66",1,"con1","16:15",115.359291677389
"67",1,"con1","16:30",104.499454540151
"68",1,"con1","16:45",96.8591327327292
"69",1,"con1","17:00",91.6438505323282
"70",1,"con1","17:15",90.9677419354839
"71",1,"con1","17:30",89.1612903225806
"72",1,"con1","17:45",88.1290322580645
"73",1,"con1","18:00",85.0322580645161
"74",1,"con1","18:15",83.3548387096774
"75",1,"con1","18:30",81.6774193548387
"76",1,"con1","18:45",78.8387096774194
"77",1,"con1","19:00",78.5806451612903
"78",1,"con1","19:15",77.5483870967742
"79",1,"con1","19:30",77.6774193548387
"80",1,"con1","19:45",76.258064516129
"81",1,"con1","20:00",59.4838709677419
