"","jam","d_haluco"
"1",0,0
"2",0,0
"3",0,0
"4",0,0
"5",1,0
"6",1,0
"7",1,0
"8",1,0
"9",2,0
"10",2,0
"11",2,0
"12",2,0
"13",3,0
"14",3,0
"15",3,0
"16",3,0
"17",4,0
"18",4,0
"19",4,0
"20",4,0
"21",5,0.644257703081233
"22",5,0.00414565826330532
"23",5,0.140952380952381
"24",5,0.641792717086835
"25",6,8.43697478991597
"26",6,3.08112044817927
"27",6,5.53904761904762
"28",6,8.32761904761905
"29",7,28.5770308123249
"30",7,16.2157983193277
"31",7,21.1774789915966
"32",7,27.152380952381
"33",8,65.0084033613445
"34",8,43.4988235294118
"35",8,53.2793277310924
"36",8,61.3909243697479
"37",9,107.067226890756
"38",9,82.8797759103641
"39",9,90.8946778711485
"40",9,99.7160784313726
"41",10,154.585434173669
"42",10,120.434957983193
"43",10,133.019495798319
"44",10,141.204369747899
"45",11,187.893557422969
"46",11,154.490532212885
"47",11,160.236526610644
"48",11,166.299159663866
"49",12,208.240896358543
"50",12,177.48268907563
"51",12,179.651764705882
"52",12,184.499383753501
"53",13,216.131652661064
"54",13,186.270140056022
"55",13,192.364369747899
"56",13,181.841232492997
"57",14,207.700280112045
"58",14,177.266778711485
"59",14,171.43731092437
"60",14,167.688403361345
"61",15,185.52380952381
"62",15,156.99675070028
"63",15,150.298711484594
"64",15,142.741736694678
"65",16,151.714285714286
"66",16,128.290196078431
"67",16,119.434733893557
"68",16,110.943305322129
"69",17,113.383753501401
"70",17,96.4347338935574
"71",17,87.9304201680672
"72",17,79.9559663865546
"73",18,76.8151260504202
"74",18,64.346218487395
"75",18,56.1812885154062
"76",18,48.4438095238095
"77",19,41.5042016806723
"78",19,32.9900280112045
"79",19,26.6990476190476
"80",19,20.7902521008403
"81",20,16.3613445378151
"82",20,11.2033613445378
"83",20,7.77008403361345
"84",20,5.0156862745098
"85",21,2.88235294117647
"86",21,1.43551820728291
"87",21,0.534341736694678
"88",21,0.108571428571429
"89",22,0.00280112044817927
"90",22,0
"91",22,0
"92",22,0
"93",23,0
"94",23,0
"95",23,0
"96",23,0
